IND_UUID,IND_NAME,DIM_GEO_CODE_TYPE,DIM_GEO_CODE_M49,GEO_NAME_SHORT,DIM_TIME_TYPE,DIM_TIME,RATE_PER_10000_N
217795A,Density of doctors,COUNTRY,392,Japan,YEAR,2006,20.82
217795A,Density of doctors,COUNTRY,392,Japan,YEAR,1998,18.87
217795A,Density of doctors,COUNTRY,392,Japan,YEAR,2016,24.23
217795A,Density of doctors,COUNTRY,392,Japan,YEAR,2010,22.12
217795A,Density of doctors,COUNTRY,392,Japan,YEAR,2020,25.92
217795A,Density of doctors,COUNTRY,392,Japan,YEAR,1996,18.37
217795A,Density of doctors,COUNTRY,392,Japan,YEAR,2004,20.29
217795A,Density of doctors,COUNTRY,392,Japan,YEAR,2014,23.54
217795A,Density of doctors,COUNTRY,392,Japan,YEAR,1994,17.7
217795A,Density of doctors,COUNTRY,392,Japan,YEAR,2002,19.76
217795A,Density of doctors,COUNTRY,392,Japan,YEAR,2008,21.46
217795A,Density of doctors,COUNTRY,392,Japan,YEAR,2018,24.85
217795A,Density of doctors,COUNTRY,392,Japan,YEAR,1992,17.03
217795A,Density of doctors,COUNTRY,392,Japan,YEAR,1990,16.53
217795A,Density of doctors,COUNTRY,392,Japan,YEAR,2000,19.31
217795A,Density of doctors,COUNTRY,392,Japan,YEAR,2012,22.83
217795A,Density of doctors,COUNTRY,392,Japan,YEAR,2022,26.49
