IND_UUID,IND_NAME,DIM_GEO_CODE_TYPE,DIM_GEO_CODE_M49,GEO_NAME_SHORT,DIM_TIME_TYPE,DIM_TIME,Sex,PERCENT_POP_N,PERCENT_POP_NL,PERCENT_POP_NU
75DDA77,Tobacco use,COUNTRY,392,Japan,YEAR,2000,Female,14.7,12.4,17
75DDA77,Tobacco use,COUNTRY,392,Japan,YEAR,2005,Female,13.3,11.2,15.4
75DDA77,Tobacco use,COUNTRY,392,Japan,YEAR,2007,Female,12.8,10.8,14.8
75DDA77,Tobacco use,COUNTRY,392,Japan,YEAR,2010,Female,12,10.1,14
75DDA77,Tobacco use,COUNTRY,392,Japan,YEAR,2015,Female,11,9.1,12.9
75DDA77,Tobacco use,COUNTRY,392,Japan,YEAR,2030,Female,8.3,6.4,10.1
75DDA77,Tobacco use,COUNTRY,392,Japan,YEAR,2020,Female,10,8.3,11.7
75DDA77,Tobacco use,COUNTRY,392,Japan,YEAR,2021,Female,9.8,8,11.6
75DDA77,Tobacco use,COUNTRY,392,Japan,YEAR,2022,Female,9.6,7.6,11.6
75DDA77,Tobacco use,COUNTRY,392,Japan,YEAR,2025,Female,9.1,7.3,10.9
75DDA77,Tobacco use,COUNTRY,392,Japan,YEAR,2000,Male,52.4,44,60.9
75DDA77,Tobacco use,COUNTRY,392,Japan,YEAR,2005,Male,45.6,38.9,52.3
75DDA77,Tobacco use,COUNTRY,392,Japan,YEAR,2007,Male,43.1,35.9,50.3
75DDA77,Tobacco use,COUNTRY,392,Japan,YEAR,2010,Male,39.8,33.8,45.8
75DDA77,Tobacco use,COUNTRY,392,Japan,YEAR,2015,Male,34.6,29.4,39.8
75DDA77,Tobacco use,COUNTRY,392,Japan,YEAR,2030,Male,23.1,18.2,27.9
75DDA77,Tobacco use,COUNTRY,392,Japan,YEAR,2020,Male,30.3,24.3,36.4
75DDA77,Tobacco use,COUNTRY,392,Japan,YEAR,2021,Male,29.5,24.5,34.4
75DDA77,Tobacco use,COUNTRY,392,Japan,YEAR,2022,Male,28.7,23.6,33.8
75DDA77,Tobacco use,COUNTRY,392,Japan,YEAR,2025,Male,26.5,21.9,31.1
75DDA77,Tobacco use,COUNTRY,392,Japan,YEAR,2000,Total,33.6,28.2,38.9
75DDA77,Tobacco use,COUNTRY,392,Japan,YEAR,2005,Total,29.4,25,33.8
75DDA77,Tobacco use,COUNTRY,392,Japan,YEAR,2007,Total,27.9,23.4,32.5
75DDA77,Tobacco use,COUNTRY,392,Japan,YEAR,2010,Total,25.9,21.9,29.9
75DDA77,Tobacco use,COUNTRY,392,Japan,YEAR,2015,Total,22.8,19.3,26.3
75DDA77,Tobacco use,COUNTRY,392,Japan,YEAR,2030,Total,15.7,12.3,19
75DDA77,Tobacco use,COUNTRY,392,Japan,YEAR,2020,Total,20.2,16.3,24.1
75DDA77,Tobacco use,COUNTRY,392,Japan,YEAR,2021,Total,19.6,16.3,23
75DDA77,Tobacco use,COUNTRY,392,Japan,YEAR,2022,Total,19.2,15.6,22.7
75DDA77,Tobacco use,COUNTRY,392,Japan,YEAR,2025,Total,17.8,14.6,21
